method,dataset,acc,prec,rec,f1,auc,tp,tn,fp,fn,fnr,fpr,tnr,rec_at_fpr_1,rec_at_fpr_01,latency_avg_ms,latency_p99_ms,qps,train_time_sec,model_size_mb,feature_dim,notes
textcnn_adv_charencode,dataset1,0.6325,0.2857,0.0009,0.0018,0.8213,2,3900,5,2262,0.9991,0.0013,0.9987,0.0066,0.0009,17.2580,19.6702,57.94,-1.0,8.60,200,Custom: adv_charencode
textcnn_adv_whitespace,dataset1,0.8248,0.9958,0.5247,0.6873,0.9255,1188,3900,5,1076,0.4753,0.0013,0.9987,0.6224,0.4492,17.8360,21.6975,56.07,-1.0,8.60,200,Custom: adv_whitespace
textcnn_adv_versioned,dataset1,0.9559,0.9975,0.8821,0.9362,0.9883,1997,3900,5,267,0.1179,0.0013,0.9987,0.9477,0.8534,17.5610,20.4466,56.94,-1.0,8.60,200,Custom: adv_versioned
textcnn_adv_symbolic,dataset1,0.9951,0.9978,0.9890,0.9933,0.9982,2239,3900,5,25,0.0110,0.0013,0.9987,0.9912,0.9890,17.9542,21.4435,55.70,-1.0,8.60,200,Custom: adv_symbolic
textcnn_adv_equaltolike,dataset1,0.9955,0.9978,0.9898,0.9938,0.9982,2241,3900,5,23,0.0102,0.0013,0.9987,0.9912,0.9898,17.5746,20.4854,56.90,-1.0,8.60,200,Custom: adv_equaltolike
textcnn_adv_mix,dataset1,0.7533,0.9934,0.3299,0.4954,0.8831,747,3900,5,1517,0.6701,0.0013,0.9987,0.3598,0.3136,17.5551,19.7457,56.96,-1.0,8.60,200,Custom: adv_mix
char_cnn_adv_randomcase,dataset1,0.9984,0.9978,0.9978,0.9978,0.9997,2259,3900,5,5,0.0022,0.0013,0.9987,0.9982,0.9978,20.8556,22.8891,47.95,-1.0,3.14,1000,Custom: adv_randomcase
char_cnn_adv_space2comment,dataset1,0.9898,0.9977,0.9744,0.9859,0.9995,2206,3900,5,58,0.0256,0.0013,0.9987,0.9965,0.9708,21.3215,24.7795,46.90,-1.0,3.14,1000,Custom: adv_space2comment
char_cnn_adv_charencode,dataset1,0.9982,0.9978,0.9973,0.9976,0.9998,2258,3900,5,6,0.0027,0.0013,0.9987,0.9982,0.9973,21.3296,24.5399,46.88,-1.0,3.14,1000,Custom: adv_charencode
char_cnn_adv_whitespace,dataset1,0.8244,0.9958,0.5239,0.6865,0.9367,1186,3900,5,1078,0.4761,0.0013,0.9987,0.6179,0.5168,21.6057,25.3646,46.28,-1.0,3.14,1000,Custom: adv_whitespace
char_cnn_adv_versioned,dataset1,0.9982,0.9978,0.9973,0.9976,0.9997,2258,3900,5,6,0.0027,0.0013,0.9987,0.9982,0.9973,21.5530,23.9176,46.40,-1.0,3.14,1000,Custom: adv_versioned
char_cnn_adv_symbolic,dataset1,0.9984,0.9978,0.9978,0.9978,0.9997,2259,3900,5,5,0.0022,0.0013,0.9987,0.9982,0.9978,21.4214,23.8341,46.68,-1.0,3.14,1000,Custom: adv_symbolic
char_cnn_adv_equaltolike,dataset1,0.9982,0.9978,0.9973,0.9976,0.9996,2258,3900,5,6,0.0027,0.0013,0.9987,0.9978,0.9973,22.4320,27.3736,44.58,-1.0,3.14,1000,Custom: adv_equaltolike
char_cnn_adv_mix,dataset1,0.9742,0.9976,0.9320,0.9637,0.9946,2110,3900,5,154,0.0680,0.0013,0.9987,0.9576,0.9289,22.0294,26.6647,45.39,-1.0,3.14,1000,Custom: adv_mix
cnn_bilstm_adv_randomcase,dataset1,0.9938,0.9934,0.9898,0.9916,0.9978,2241,3890,15,23,0.0102,0.0038,0.9962,0.9903,0.9837,26.2054,30.9317,38.16,-1.0,22.86,200,Custom: adv_randomcase
cnn_bilstm_adv_space2comment,dataset1,0.6349,0.6429,0.0119,0.0234,0.8232,27,3890,15,2237,0.9881,0.0038,0.9962,0.0176,0.0062,26.5527,34.0856,37.66,-1.0,22.86,200,Custom: adv_space2comment
cnn_bilstm_adv_charencode,dataset1,0.6309,0.1176,0.0009,0.0018,0.8212,2,3890,15,2262,0.9991,0.0038,0.9962,0.0062,0.0009,26.2843,28.8976,38.05,-1.0,22.86,200,Custom: adv_charencode
cnn_bilstm_adv_whitespace,dataset1,0.8505,0.9891,0.5994,0.7464,0.9281,1357,3890,15,907,0.4006,0.0038,0.9962,0.6308,0.4201,25.8121,28.3552,38.74,-1.0,22.86,200,Custom: adv_whitespace
cnn_bilstm_adv_versioned,dataset1,0.9758,0.9930,0.9408,0.9662,0.9892,2130,3890,15,134,0.0592,0.0038,0.9962,0.9503,0.8308,25.8960,28.7423,38.62,-1.0,22.86,200,Custom: adv_versioned
cnn_bilstm_adv_symbolic,dataset1,0.9938,0.9934,0.9898,0.9916,0.9978,2241,3890,15,23,0.0102,0.0038,0.9962,0.9903,0.9837,26.2380,28.9901,38.11,-1.0,22.86,200,Custom: adv_symbolic
cnn_bilstm_adv_equaltolike,dataset1,0.9938,0.9934,0.9898,0.9916,0.9980,2241,3890,15,23,0.0102,0.0038,0.9962,0.9908,0.9845,26.2784,29.3609,38.05,-1.0,22.86,200,Custom: adv_equaltolike
cnn_bilstm_adv_mix,dataset1,0.7596,0.9815,0.3516,0.5177,0.8838,796,3890,15,1468,0.6484,0.0038,0.9962,0.3620,0.3052,26.9102,30.5530,37.16,-1.0,22.86,200,Custom: adv_mix
lstm_attn_adv_randomcase,dataset1,0.9899,0.9893,0.9832,0.9863,0.9950,2226,3881,24,38,0.0168,0.0061,0.9939,0.9845,0.9739,22.7251,24.9341,44.00,-1.0,8.67,200,Custom: adv_randomcase
lstm_attn_adv_space2comment,dataset1,0.6315,0.3846,0.0066,0.0130,0.5860,15,3881,24,2249,0.9934,0.0061,0.9939,0.0071,0.0057,23.3851,27.0649,42.76,-1.0,8.67,200,Custom: adv_space2comment
lstm_attn_adv_charencode,dataset1,0.6294,0.0769,0.0009,0.0017,0.5815,2,3881,24,2262,0.9991,0.0061,0.9939,0.0009,0.0004,22.9939,25.3805,43.49,-1.0,8.67,200,Custom: adv_charencode
lstm_attn_adv_whitespace,dataset1,0.7773,0.9744,0.4037,0.5709,0.8343,914,3881,24,1350,0.5963,0.0061,0.9939,0.4368,0.3048,23.0334,25.8195,43.42,-1.0,8.67,200,Custom: adv_whitespace
lstm_attn_adv_versioned,dataset1,0.9476,0.9879,0.8679,0.9241,0.9766,1965,3881,24,299,0.1321,0.0061,0.9939,0.8701,0.8189,23.1835,25.7906,43.13,-1.0,8.67,200,Custom: adv_versioned
lstm_attn_adv_symbolic,dataset1,0.9904,0.9893,0.9845,0.9869,0.9950,2229,3881,24,35,0.0155,0.0061,0.9939,0.9859,0.9766,23.2665,25.9540,42.98,-1.0,8.67,200,Custom: adv_symbolic
lstm_attn_adv_equaltolike,dataset1,0.9904,0.9893,0.9845,0.9869,0.9951,2229,3881,24,35,0.0155,0.0061,0.9939,0.9854,0.9806,23.7762,26.3270,42.06,-1.0,8.67,200,Custom: adv_equaltolike
lstm_attn_adv_mix,dataset1,0.7338,0.9642,0.2853,0.4404,0.7275,646,3881,24,1618,0.7147,0.0061,0.9939,0.2902,0.2451,24.0796,26.6248,41.53,-1.0,8.67,200,Custom: adv_mix
